Solar Market Share,LTS 0%,LTS 10%,LTS 20%,LTS 30%,LTS 40%
0.01,1.0622087844067591,1.0605063381961095,1.0561097566944306,1.0478513380336603,1.0337844728266026
0.02,1.0430762937257434,1.047524427259498,1.0485637720172059,1.0446967048710687,1.0334137206612501
0.03,1.0236597909996976,1.0343794980543717,1.0409195482550728,1.0414954472484192,1.0330384824605947
0.04,1.0035419712068696,1.0209515783875658,1.0331503183859279,1.0382433168247436,1.0326586350787175
0.05,0.9818511068445018,1.007009125504863,1.0252107950335136,1.0349344780060559,1.032274035111045
0.06,0.9569498391637092,0.992140234702497,1.0170273818217317,1.0315609013930056,1.0318845146595161
0.07,0.9259729115570196,0.9756560286894316,1.008485027586192,1.0281115890607364,1.031489876309476
0.08,0.8841228530522462,0.956454936141296,0.9994096990189066,1.0245715906779778,1.0310898871781726
0.09,0.8250554083831633,0.9328297880865736,0.989545086227722,1.02092075952774,1.0306842718697358
0.1,0.7513183837812619,0.9021868222304537,0.9785216119547177,1.017132184841825,1.0302727041418844
0.11,0.6671479944930194,0.861399744332804,0.965814965366775,1.0131702205856583,1.0298547970545266
0.12,0.5676873853575939,0.8108530492209589,0.9506900075523342,1.008988009613366,1.0294300913286802
0.13,0.453972601051675,0.7557257590654187,0.9321236064342543,1.0045243740468839,1.0289980415945879
0.14,0.3231565128417651,0.6923765802848365,0.9087706334482625,0.9996999050075861,1.0285580001488208
0.15,0.18493150210252618,0.6194948030809344,0.8800512359867209,0.9944120332511731,1.0281091977697179
0.16,0.045539975907556214,0.5389559781535375,0.847662227204608,0.9885287904823831,1.0276507210562689
0.17,-0.08358906369764084,0.44663638161243485,0.8134658282439037,0.9818808694231819,1.0271814856547028
0.18,-0.19982314721231692,0.3485890297417814,0.775502722092757,0.9742514439258482,1.026700204615981
0.19,-0.3174964788633247,0.24655750689712005,0.7327589030896972,0.9653629945968254,1.0262053509817846
0.2,-0.4316448117127257,0.1463143278939615,0.6849789624060565,0.9548600619510225,1.0256951135209975
0.21,-0.5401260395877854,0.05424610263735066,0.6334579205376455,0.942454915332845,1.0251673443263827
0.22,-0.6375700837489219,-0.02961893198315388,0.5754483054974335,0.9281357597907399,1.0246194967236975
0.23,-0.7282426990320364,-0.11461451270575768,0.5137063847845628,0.9123833137046665,1.024048551632355
0.24,-0.8117691588968549,-0.19844959764626396,0.4486807250592324,0.8961139587078646,1.0234509301345125
0.25,-0.8856943583260354,-0.27828309657531136,0.3814798987010013,0.8793609094517673,1.0228223895412314
