Wind Market Share,Value Factor
0.02,1.0127449023107096
0.04,1.009086897792115
0.06,1.005244649502402
0.08,1.001192315125257
0.1,0.9968938578792278
0.12,0.9922978126274321
0.14,0.9873293532143121
0.16,0.9818782344744083
0.18,0.9757803658937378
0.2,0.9687894219665112
0.22,0.9605325859966037
0.24,0.950440434959045
0.26,0.9376334053928399
0.28,0.9207325367220696
0.3,0.8975316820485136
0.32,0.8644006084431096
0.34,0.8159123813499357
0.36,0.748126074456855
0.38,0.6643646196931771
0.4,0.5706269382685242
0.42,0.47381976929978226
0.44,0.3778982874771674
0.46,0.2852651361462285
0.48,0.2062479282350018
0.5,0.14706252849706777
