Wind Market Share,STS 0%,STS 10%,STS 20%,STS 30%,STS 40%
0.02,1.091183165366054,1.0890043842957062,1.0864810600400863,1.0835756182288774,1.0802434965353578
0.04,1.0828240975409598,1.0806906998541024,1.0780039459845965,1.074706868828049,1.070732764457452
0.06,1.0734036736481505,1.0714235886995995,1.0686532978991503,1.065016461723849,1.0604176511030559
0.08,1.0625933431361698,1.0608668384097306,1.0580822638896266,1.054131181503391,1.0488998063556232
0.1,1.0501856781737549,1.048842146876575,1.0461081505218879,1.0418776304811193,1.0360364501207553
0.12,1.0355894560654673,1.0348659719351614,1.032343069286808,1.0279517343242575,1.0215398229254609
0.14,1.0178851627570533,1.0181926665547232,1.0161909261477324,1.011790464734121,1.0048625895643626
0.16,0.9964925560669874,0.998131135235806,0.9968542314125686,0.9926345887936867,0.9853687372908594
0.18,0.9706896269632496,0.974322416213199,0.9742655022663101,0.9704827983234842,0.962891221944654
0.2,0.9400093422263281,0.9463667981063393,0.947749511778698,0.9444728724721776,0.9366270199284741
0.22,0.9022729487431471,0.9127768722893244,0.9166958719492806,0.9143882105338992,0.9062183416375873
0.24,0.8561821060692897,0.8721037348504005,0.8793475625234681,0.878703173915086,0.8707385817317386
0.26,0.8006428698711471,0.8239206867383856,0.8355977101911708,0.8371864973947498,0.8291444537249103
0.28,0.734540237914387,0.7673844445009692,0.7849887455012049,0.7894187665752458,0.7814673069477247
0.3,0.6581057358519533,0.702595879233226,0.7275427143247981,0.7355030294428471,0.7274501948721028
0.32,0.5729022928289023,0.6283825287442771,0.6616039081423017,0.6736764660670472,0.665527163913516
0.34,0.4886077868893568,0.5488752444542592,0.5882027038829574,0.6049844578758631,0.5966224750517717
0.36,0.4194123181436814,0.473691527856463,0.5140023513037296,0.5305559133313856,0.5199177542942027
0.38,0.37261220452940685,0.4114628707345836,0.4446659370115162,0.45833401117079603,0.44041350527274004
0.4,0.3433371915479013,0.36936160718970873,0.3870127886999524,0.39098542839308703,0.36455064210476107
0.42,0.323960097549038,0.34201070294702574,0.3466051547160397,0.3335349539046306,0.2944249176589895
0.44,0.3107382951458968,0.3241698893075068,0.32029314624944905,0.2926614451418208,0.23376912425391413
0.46,0.3014087335229828,0.312420471200587,0.30291136770245153,0.26579866749542397,0.1887067711767203
0.48,0.29455258499634285,0.3042441999877989,0.2907557970980335,0.24628353077301393,0.15838610821654117
0.5,0.28897843454597744,0.2984341320928077,0.28278597702163083,0.23309968124032746,0.1358397515411161
