Wind Market Share,Solar MS 0%,Solar MS 10%,Solar MS 20%,Solar MS 30%,Solar MS 40%
0.02,1.0095941059931337,1.0210209789592195,1.091183165366054,1.168083909477153,1.2068170167761698
0.04,1.005741374064505,1.016575309728807,1.0828240975409598,1.1532342293589433,1.1850115131289798
0.06,1.0016729663040227,1.0117646826013327,1.0734036736481505,1.1362311233555926,1.159963286997596
0.08,0.9973525791059209,1.0064927966327424,1.0625933431361698,1.1164237605593095,1.1307998196651534
0.1,0.9927292929304787,1.0006199433894611,1.0501856781737549,1.0929555461109133,1.0970102247423204
0.12,0.9877303765159048,0.9939402397344166,1.0355894560654673,1.0650768276915175,1.05751387259918
0.14,0.9822504472175352,0.9861501570512979,1.0178851627570533,1.0325909650672964,1.0123637025439158
0.16,0.9761350314602922,0.9768833954529427,0.9964925560669874,0.9950246193254049,0.961502407914736
0.18,0.9691553900471439,0.9655509862092951,0.9706896269632496,0.9510357995678725,0.905516300238906
0.2,0.9609694521407407,0.9517728776905346,0.9400093422263281,0.9006218406109024,0.8452065295636622
0.22,0.9510601064117519,0.9349609159959151,0.9022729487431471,0.8438372632405573,0.7825747448083832
0.24,0.938635414903234,0.9138416315882222,0.8561821060692897,0.7808740633780089,0.7193856255991747
0.26,0.9224622407173254,0.8857451079251901,0.8006428698711471,0.7137115238549415,0.6577202243895497
0.28,0.9005776237972486,0.8475675405560751,0.734540237914387,0.6450202463321723,0.598448940200342
0.3,0.8697634329441873,0.7940643673503868,0.6581057358519533,0.5768517912449918,0.543115544734221
0.32,0.8262666613494051,0.7209921742884354,0.5729022928289023,0.5118555805284708,0.4924122058174654
0.34,0.7683192128587977,0.6286372863223865,0.4886077868893568,0.45525244466984355,0.44934344578603447
0.36,0.6981723100866244,0.5256059790139792,0.4194123181436814,0.41173528421897687,0.4158840390090063
0.38,0.6238595280082813,0.43163772925688476,0.37261220452940685,0.38263762933658085,0.3922568028159178
0.4,0.5464399772607764,0.3544438354941105,0.3433371915479013,0.36309293499615153,0.3748447342100569
0.42,0.45902890152880704,0.29556941793043456,0.323960097549038,0.34867983081378134,0.36095835402005
0.44,0.36016659023576325,0.2531524057688102,0.3107382951458968,0.336976749779261,0.3491012638797412
0.46,0.2619004599661008,0.2268937913511386,0.3014087335229828,0.32715795118299623,0.33855603257825556
0.48,0.18139243350186962,0.21378766639533686,0.29455258499634285,0.31864109353557646,0.3290158486912025
0.5,0.11935066082473704,0.20903177976414133,0.28897843454597744,0.3109209138405984,0.3201906145183931
