Solar Market Share,Value Factor
0.01,1.0849171599857623
0.02,1.0633391768132088
0.03,1.0407229737371755
0.04,1.0162377581235214
0.05,0.9884721019307126
0.06,0.9550459800214831
0.07,0.9120141071312167
0.08,0.8543882502703579
0.09,0.7858161023003646
0.1,0.7130930484975472
0.11,0.6304282462518993
0.12,0.5336453641874199
0.13,0.4254001981219586
0.14,0.29498557510362006
0.15,0.156366042250671
0.16,0.01918073964569972
0.17,-0.10654325053511748
0.18,-0.21773852639054403
0.19,-0.32256841475655906
0.2,-0.4200684154572779
0.21,-0.5134977936137011
0.22,-0.5992263684184379
0.23,-0.6716456208976612
0.24,-0.7366542997884787
0.25,-0.7923734671111364
